Number One,Number Two,GCD,Time (ms)
1524014815,1470938549,1,7.9E-4
1976716599,1017642966,3,7.9E-4
750937999,57484048,1,7.9E-4
1627765957,1043598491,1,7.91E-4
1237989205,920149190,5,0.001185
1007499613,75053219,1,0.001185
1557013165,733892888,1,0.001185
1796089892,1369014978,2,0.001185
1625430796,145876493,1,0.001185
1076542029,450593208,9,0.001185
1660244682,1085564869,1,0.001185
2042239942,1721883326,2,0.001185
1922809909,273201717,1,0.001185
627070152,476392038,6,0.001185
868413337,219297150,1,0.001185
2128984390,15554375,5,0.001185
1333368595,695013579,13,0.001185
1523136390,1381005815,5,0.001185
1879258098,919161793,1,0.001185
607425188,277766610,2,0.001185
2132114588,1954420500,4,0.001185
692171616,601378924,4,0.001185
1609970296,1423711700,4,0.001185
1674432017,1342069743,17,0.001185
2098358963,1956445018,1,0.001185
1775947440,119069162,2,0.001185
1708734300,1500087664,4,0.001185
1642242148,872453603,1,0.001185
287452167,220723634,1,0.001185
1958643990,1214064665,5,0.001185
1008775335,316404042,3,0.001185
2134158016,1249241842,2,0.001185
837489637,578555916,29,0.001185
1487580677,758199541,11,0.001185
602451700,595391978,2,0.001185
1063583998,695326786,2,0.001185
2145299529,1002702447,3,0.001185
1847986820,1353190709,1,0.001185
867647094,550297375,1,0.001185
387466164,274339010,2,0.001185
1948797883,1859346314,1,0.001185
1004358068,799842822,2,0.001185
1521962456,799071441,7,0.001185
2090125565,449187522,1,0.001185
387368437,175958672,1,0.001185
1996108077,437094431,1,0.001185
419308339,41367854,1,0.001185
1261388769,835996007,1,0.001185
1598507008,1217905562,2,0.001185
2053521056,1759800684,4,0.001185
1928056638,1423466190,6,0.001185
939671365,569340681,1,0.001185
427718934,199194886,2,0.001185
777851920,523577043,1,0.001185
1538286753,369831085,1,0.001185
1626275503,568640339,1,0.001186
2013981545,1123330769,1,0.001186
862692660,651809996,172,0.001186
1258508277,1241787879,9,0.001186
1417973039,1248982457,1,0.001186
2088205721,1003429381,1,0.001186
1935399317,68345477,1,0.001186
1989563034,483347626,2,0.001186
2143165395,385747563,3,0.001186
2118020012,740469464,4,0.001186
875059397,641197325,1,0.00158
1455108070,428696851,1,0.00158
395414476,244582269,1,0.00158
1468131782,1117494273,1,0.00158
1939755615,1575146948,1,0.00158
2146884497,747388581,1,0.00158
1810914023,1571326680,1,0.00158
645632916,204886772,4,0.00158
2034476572,1268303370,2,0.00158
1902254909,1534185315,1,0.00158
509776250,155844189,1,0.00158
2104401377,719961429,1,0.00158
1842412019,1357424525,1,0.00158
1558149375,563637554,1,0.00158
2042062145,1439818130,5,0.00158
1204686678,858984555,39,0.00158
1779532139,1108787963,1,0.00158
1984257322,1446260204,2,0.00158
981790101,751197792,3,0.00158
874081643,490583896,1,0.00158
1781925965,480637057,1,0.00158
1431744616,846863420,4,0.00158
1447279170,352815605,5,0.001581
1344429265,614074172,1,0.001581
1075336924,999509535,1,0.001581
1603818531,32342743,1,0.001581
1850823245,1268631177,1,0.001581
1480186250,362996492,2,0.001581
1892284840,821801033,1,0.001581
1239038932,427546733,1,0.001581
1653921851,494891924,1,0.001975
1957503229,299349613,1,0.00237
2062986724,1896163230,2,0.00395
1373415692,320852005,1,0.005136
2029689096,929625746,2,0.005136
